keyword,category,proposed_title,meta_description,suggested_keywords,article_sections,why_needed,related_existing_terms,related_planned_terms,priority
porous-asphalt,asphalt-materials,"Porous Asphalt for Drainage","Porous asphalt is an open-graded asphalt mixture (15-25% air voids) that allows water to drain through the pavement surface into a stone reservoir below, reducing runoff and hydroplaning. Used for parking lots and low-traffic roads; also as porous friction course on runways. Covers mix design, drainage layer system, clogging inspection, and winter maintenance.",porous asphalt; permeable asphalt; open-graded asphalt; porous pavement; porous asphalt drainage; OGFC; porous friction course; porous asphalt clogging; porous asphalt inspection; porous asphalt winter,1. Definition and Open-Graded Structure; 2. Mix Design (high voids; polymer-modified binder; fibers); 3. Drainage Layer System (choker course; reservoir stone; underdrain); 4. Porous Friction Course (PFC) on Runways; 5. Clogging and Permeability Loss; 6. Inspection for Clogging; 7. Maintenance (vacuum sweeping; regeneration); 8. Winter Performance (reduced black ice); 9. Airport Applications; 10. Porous Asphalt vs Pervious Concrete,Drainage-focused asphalt — inspection emphasizes clogging rather than structural cracking.,asphalt; pavement; drainage; inspection; materials; runway-surface,porous-friction-course; open-graded-friction-course; pervious-concrete; drainage; hydroplaning; skid-resistance; grooving; stone-mastic-asphalt; air-voids,medium
rejuvenator,pavement-materials,"Asphalt Rejuvenators and Recycling Agents","Asphalt rejuvenators are additives that restore the chemical and physical properties of aged, oxidized asphalt binder in RAP, RAS, or in-place recycled pavements, countering aging effects and restoring ductility. Covers rejuvenator types (petroleum; bio-based; tall oil; vegetable oil), dosage, blending, and performance effects on high-RAP mixes and HIR/CIR.",asphalt rejuvenator; recycling agent; rejuvenating agent; RAP rejuvenator; bio-rejuvenator; asphalt restoration; aged binder; binder rejuvenation; tall oil rejuvenator; rejuvenator dosage,1. Definition and Function (restore maltenes; reduce stiffness); 2. Rejuvenator Types (petroleum-based aromatic extracts; tall oil; vegetable oil; bio-based; waste engine oil); 3. Mechanism (diffusion into aged binder; restoring colloidal balance); 4. Dosage Determination; 5. Rejuvenator in High-RAP Mixes; 6. Rejuvenator in CIR/HIR; 7. Performance Testing of Rejuvenated Mixes; 8. Rejuvenator vs Soft Binder; 9. Long-Term Performance; 10. Inspection Relevance (rejuvenated pavement behavior),Recycling additive — use of rejuvenators in pavement history affects how the pavement ages and behaves during inspection.,asphalt; pavement; materials; recycling; maintenance,reclaimed-asphalt-pavement; cold-in-place-recycling; hot-in-place-recycling; aging; asphalt-content; polymer-modified-binder; binder; recycling; rap,medium
warm-mix-additive,asphalt-materials,"Warm Mix Asphalt (WMA) Additives and Technologies","Warm Mix Asphalt (WMA) technologies reduce HMA production and placement temperatures by 20-40°C through additives or processes: organic waxes (Sasobit), chemical additives (Evotherm), and foaming (water injection; zeolites). Lower temperatures reduce emissions, improve compaction, and extend paving season. Covers additive types, mechanisms, performance, and inspection of WMA pavements for any differences from HMA.",warm mix asphalt additive; WMA additive; Sasobit; Evotherm; Advera; foamed asphalt WMA; organic wax; chemical surfactant; WMA technology; WMA performance,1. WMA Temperature Reduction Goal; 2. Foaming Technologies (water injection; zeolite additives); 3. Organic Additives (Fischer-Tropsch wax; fatty acid amides); 4. Chemical Additives (surfactants; adhesion promoters); 5. WMA Performance (rutting; moisture sensitivity; aging); 6. Compaction Benefits (improved density at lower temperature); 7. WMA in Airport Specifications; 8. WMA Inspection (same as HMA; no visual distinction); 9. WMA Environmental Benefits; 10. WMA Adoption and Standards,WMA affects construction quality — understanding its use helps interpret compaction and early-life performance.,asphalt; pavement; materials; construction; inspection,warm-mix-asphalt; hot-mix-asphalt; asphalt-binder; compaction; air-voids; emulsion; foamed-asphalt; sustainable-pavement; construction; quality-control,medium
foamed-asphalt,asphalt-materials,"Foamed Asphalt for Pavement Recycling and Stabilization","Foamed asphalt is produced by injecting a small amount of cold water into hot asphalt binder, causing it to expand dramatically into a foam that temporarily increases volume and reduces viscosity, enabling mixing with cold, moist aggregate. It is a key binder for Cold In-Place Recycling (CIR) and Full-Depth Reclamation (FDR). Covers foaming process, mix design, and inspection of foamed-asphalt-treated bases.",foamed asphalt; foam asphalt; foamed bitumen; asphalt foaming; expansion ratio; half-life; foamed asphalt CIR; foamed asphalt FDR; foamed asphalt process; foamed asphalt mix,1. Foaming Process (water injection; steam expansion; temporary viscosity reduction); 2. Foam Characteristics (expansion ratio; half-life); 3. Factors Affecting Foam Quality (temperature; water content; binder type); 4. Foamed Asphalt in CIR; 5. Foamed Asphalt in FDR; 6. Mix Design for Foamed Asphalt; 7. Foamed Asphalt Base Properties; 8. Inspection of Foamed-Asphalt-Stabilized Layers; 9. Foamed Asphalt vs Emulsion; 10. Standards and Guidelines,Recycling binder — understanding foamed asphalt helps interpret CIR/FDR pavement performance during inspection.,asphalt; pavement; materials; recycling; maintenance; construction,foamed-asphalt; cold-in-place-recycling; full-depth-reclamation; emulsion; reclaimed-asphalt-pavement; base-course; stabilization; recycling; rejuvenator; cold-mix,medium
anti-strip-agent,asphalt-materials,"Anti-Strip Agents for Asphalt Moisture Resistance","Anti-strip agents are chemical additives — hydrated lime or liquid amines — that improve the bond between asphalt binder and aggregate in the presence of water, preventing moisture-induced stripping (debonding of asphalt film from aggregate). Stripping causes raveling and potholes. Covers types, dosage, testing (TSR; boiling test), and inspection indicators of stripping in in-service pavements.",anti-strip agent; antistrip; moisture damage prevention; hydrated lime; liquid antistrip; amine antistrip; stripping; tensile strength ratio; Hamburg test; asphalt moisture,1. Stripping Mechanism (water displacing asphalt from aggregate); 2. Anti-Strip Types (hydrated lime; liquid amines; silanes; SBS); 3. Hydrated Lime Benefits (multiple mechanisms: stiffening; anti-oxidant); 4. Dosage Determination (TSR per AASHTO T283); 5. Testing (boiling water test; Hamburg wheel track; indirect tensile); 6. Anti-Strip in Airport Mixes; 7. Inspection Indicators of Stripping (raveling; potholes; moisture staining); 8. Stripping in Cores; 9. Anti-Strip Performance Life; 10. Specifications,Moisture-damage additive — stripping observed during inspection indicates inadequate anti-strip protection.,asphalt; pavement; materials; maintenance; inspection,moisture-susceptibility; raveling; pothole; asphalt-content; stripping; tensile-strength-ratio; Hamburg-wheel-track; emulsion; tack-coat,medium
wma-additive,asphalt-materials,"Warm Mix Asphalt (WMA) Technologies Overview","See also warm-mix-additive entry. Warm Mix Asphalt reduces production temperatures by 20-40°C versus HMA through foaming, organic wax, or chemical additive technologies. Reduced temperature lowers fuel use and emissions, improves working conditions, and can extend the paving season. Covers WMA technology categories, performance equal to HMA when properly designed, and current airport specification status.",warm mix asphalt; WMA; WMA technology; WMA foaming; WMA additive; WMA benefits; WMA vs HMA; WMA compaction; WMA airport; lower temperature asphalt,1. WMA Concept and Benefits; 2. Technology Categories (foaming; organic additive; chemical additive; hybrid); 3. Temperature Reduction Range; 4. Binder Grade Implications; 5. WMA Moisture Sensitivity; 6. WMA Compaction and Density; 7. WMA and RAP; 8. WMA Long-Term Performance; 9. WMA in Airport Specification (FAA item P-401); 10. WMA Sustainability,Lower-energy asphalt technology — understanding WMA history helps interpret early-age pavement performance.,asphalt; pavement; materials; construction; sustainability,warm-mix-additive; hot-mix-asphalt; foamed-asphalt; reclaimed-asphalt-pavement; compaction; air-voids; sustainable-pavement; quality-control; asphalt-binder,medium
quality-control-plan,construction,"Quality Control Plans for Pavement Construction","A Quality Control (QC) Plan is a project-specific document detailing the personnel, procedures, testing, inspection, and documentation to ensure pavement materials and construction meet specifications. QC plans are required for FAA-funded airport projects. Covers QC plan elements, testing frequencies, control charts, and the distinction between QC (contractor) and QA (owner/agency) verification.",quality control plan; QC plan; pavement QC; construction quality; quality control; QC testing; control charts; FAA QC; quality assurance; QC plan elements,1. Purpose and Regulatory Requirement; 2. QC Plan Elements (organization; sampling; testing; inspection; documentation; corrective action); 3. QC vs QA (contractor QC; agency QA verification); 4. Testing Frequencies (HMA; PCC; aggregates; compaction); 5. Statistical QC (control charts; CUSUM; moving average); 6. Process Control (real-time density; thermal profiling; grade control); 7. FAA QC Requirements (AC 150/5370-10); 8. QC for Airport Projects; 9. QC Documentation and As-Built Records; 10. QC Data and Future Inspection,Construction quality framework — QC records provide baseline condition data for future inspection.,construction; quality; pavement; asphalt; concrete; inspection,quality-assurance; quality-control; compaction; air-voids; asphalt-content; compressive-strength; specification; acceptance-testing; construction; documentation,medium
3d-machine-control,construction,"3D Machine Control for Pavement Construction","3D machine control uses GNSS (GPS+GLONASS) or robotic total stations to automatically control the blade or screed of grading and paving equipment to design elevations, eliminating stringlines and grade stakes. It enables variable-depth milling, precise asphalt/base placement, and accurate subgrade finishing. Covers system components, accuracy, and construction verification.",3D machine control; GPS grading; autonomous machine control; automated grade control; 3D paving; GNSS machine control; millimeter GPS; total station machine control; 3D milling; automated construction,1. Concept and Technology; 2. GNSS-Based 3D Control (RTK GPS+GLONASS+IMU); 3. Robotic Total Station Control; 4. System Components (receiver; base station; machine control unit; hydraulic interface); 5. Applications (subgrade grading; base placement; asphalt paving; cold planing); 6. Accuracy (typically ±5-10 mm vertical); 7. 3D Digital Terrain Models; 8. As-Built Verification (laser scanning; drone survey); 9. Benefits (speed; accuracy; no stringlines; data record); 10. Airport Pavement Construction,Construction technology — 3D control records provide precision as-built data for future inspection baselines.,construction; technology; pavement; GPS; surveying; automation,leveling-course; cold-planing; milling; GPS; real-time-kinematic; gps-positioning; UAV; drone; compaction; grade-control; cross-slope; longitudinal-grade,medium
intelligent-compaction,construction,"Intelligent Compaction for Pavement Construction","Intelligent Compaction (IC) uses instrumented rollers with integrated measurement systems (accelerometers, GPS, temperature sensors) to provide real-time, continuous compaction quality data, mapping roller passes, stiffness, and surface temperature. IC ensures uniform compaction and identifies weak areas. Covers IC technologies, measurement values (CMV; Evib), and IC data for construction QA.",intelligent compaction; IC; IC roller; compaction control; continuous compaction control; CMV; compaction meter value; Evib; IC mapping; intelligent compaction airport,1. Definition and Technology; 2. IC Measurement Values (Compaction Meter Value CMV; Evib; Omega; MDP); 3. IC Roller Components (accelerometer; GPS; display; temperature sensor); 4. Real-Time Compaction Mapping; 5. IC and Compaction Uniformity; 6. IC for Subgrade; Base; and Asphalt; 7. IC Specifications (FHWA; FAA); 8. IC Data for Construction QA; 9. Benefits (uniformity; coverage; data record); 10. IC and Future Inspection,Compaction technology — IC records provide quality data for pavement sections that informs future inspection.,construction; technology; pavement; compaction; GPS; quality-control,compaction; 3d-machine-control; proctor-test; nuclear-density-gauge; air-voids; subgrade; base-course; asphalt; quality-control-plan; continuous,medium
mel,aviation,"Minimum Equipment List (MEL) and Aerodrome Operations","The Minimum Equipment List (MEL) is an approved document listing equipment that may be temporarily inoperative while maintaining an acceptable level of safety, with associated operational restrictions and repair intervals. In airfield context, MEL relates to navigational aids, lighting, and other infrastructure. Covers MEL concept, relationship to MMEL, and implications for airfield inspection and maintenance scheduling.",minimum equipment list; MEL; aircraft MEL; MMEL; master minimum equipment list; MEL relief; MEL category; inoperative equipment; MEL repair interval; MEL aviation,1. Definition and Regulatory Basis; 2. MEL vs MMEL; 3. MEL Categories (A; B; C; D repair intervals); 4. Operational Restrictions with Inoperative Equipment; 5. MEL for Aircraft vs Airfield Equipment; 6. Airfield Navaid and Lighting Outages; 7. MEL and NOTAM Issuance; 8. MEL Implications for Inspection Prioritization; 9. MEL Management and Compliance; 10. Relationship to Airfield Safety,Operational context — inoperative airfield equipment management affects inspection scheduling and safety.,aviation; safety; inspection; maintenance; airport; lighting,NOTAM; airfield-lighting; navigation-aid; maintenance-schedule; safety-assessment; risk-assessment; aerodrome; compliance; standby,medium
fod-walk,aviation,"FOD Walk and Manual Airfield Inspection","A FOD walk is a systematic, manual inspection where personnel walk in line abreast across a runway, taxiway, or apron, visually scanning for Foreign Object Debris. It is a basic but critical airfield safety practice. Covers FOD walk procedures, frequency, documentation, limitations, and how automated FOD detection systems (radar; electro-optical; AI) complement manual walks.",FOD walk; foreign object debris walk; airfield walk; runway walk; FOD check; manual FOD inspection; FOD sweep; line abreast inspection; FOD program; FOD walk procedure,1. Purpose and ICAO/FAA Requirements; 2. FOD Walk Procedure (line abreast; spacing; communication); 3. Frequency (before operations; after construction; event-driven); 4. Documentation and FOD Log; 5. FOD Walk on Runways; 6. FOD Walk on Taxiways and Aprons; 7. FOD Walk Limitations (human fatigue; coverage speed; night); 8. Automated FOD Detection Complement; 9. FOD Walk and AI-Based Inspection; 10. FOD Management Program,Manual inspection method — FOD walks are the baseline against which automated inspection is compared.,aviation; safety; inspection; runway; taxiway; apron; FOD,foreign-object-debris; FOD; automated-fod-detection; runway-safety; pavement; runway-surface; safety-management-system; inspection; raveling; spalling; pothole,medium
fod-detection-system,technology,"Automated FOD Detection Systems for Airfields","Automated FOD detection systems use fixed radar, electro-optical cameras, or hybrid sensor arrays to continuously monitor runways and taxiways for foreign object debris, alerting operations in real-time. Systems include Tarsier (QinetiQ), FODetect (Xsight), iFerret (Stratech), and RunWize. Covers system types, detection performance, integration with airport operations, and complementarity with pavement condition inspection.",FOD detection system; automated FOD; FODetect; Tarsier; iFerret; runway FOD radar; runway FOD camera; FOD sensor; FOD monitoring; FOD alert,1. Purpose and Airport Need; 2. Fixed Radar Systems (millimeter-wave; detection range; clutter); 3. Electro-Optical Systems (visible + IR cameras; image processing); 4. Hybrid Systems (radar + camera fusion); 5. Commercial Systems (Tarsier; FODetect; iFerret; RunWize); 6. Detection Performance (size; range; false alarm rate); 7. Integration with Airport Operations (alerting; runway closure); 8. Automated FOD Detection and Pavement Inspection Complementarity; 9. Regulatory Status; 10. Cost-Benefit,Automated runway safety system — FOD detection data can supplement pavement condition inspection.,technology; aviation; safety; runway; inspection; FOD,foreign-object-debris; FOD; FOD-walk; runway-safety; CCTV; radar; electro-optical; pavement; runway-surface; inspection; automated-detection,medium
gps-accuracy,surveying,"GPS Accuracy for Infrastructure Survey and Inspection","GPS accuracy classification for infrastructure: autonomous (~3-5 m), differential/DGPS (~1-3 m), SBAS/WAAS (~1 m), RTK (~1-3 cm), and static survey (<1 cm). Inspection applications require different accuracy levels — RTK or PPK for photogrammetry ground control and crack measurement; DGPS for coarse asset location. Covers accuracy factors, dilution of precision, and selecting the right GPS mode for inspection tasks.",GPS accuracy; GNSS accuracy; RTK accuracy; DGPS accuracy; WAAS; SBAS; GPS error; dilution of precision; DOP; survey accuracy; GPS inspection accuracy,1. GPS Error Sources (satellite clock; orbit; ionosphere; troposphere; multipath; receiver); 2. Autonomous GPS Accuracy; 3. Differential GPS (DGPS); 4. SBAS (WAAS; EGNOS; MSAS); 5. Real-Time Kinematic (RTK); 6. Post-Processed Kinematic (PPK); 7. Static Survey; 8. Dilution of Precision (GDOP; PDOP; HDOP; VDOP); 9. Selecting Accuracy for Inspection Tasks; 10. GPS Accuracy in TarmacView Context,GPS positioning foundation — accuracy requirements determine which GPS mode to use for drone inspection and photo geolocation.,surveying; GPS; drone; inspection; mapping; technology,gps-positioning; gps-coordinates; real-time-kinematic; rtk-positioning; ppk; post-processed-kinematic; dgps; wgs84; geodetic-datum; georeferencing; ground-control-point; surveying,medium
utm, surveying,"Universal Transverse Mercator (UTM) Coordinate System","The Universal Transverse Mercator (UTM) is a plane coordinate grid system dividing the Earth into 60 north-south zones 6° wide, providing metric easting and northing coordinates for accurate distance and area measurement. UTM is preferred for engineering and inspection measurement over lat/lon. Covers UTM zone definition, coordinate format, and conversion from geographic coordinates.",UTM; universal transverse mercator; UTM zone; UTM coordinates; easting; northing; UTM grid; UTM projection; UTM vs lat lon; UTM measurement,1. Projection and Zone System; 2. UTM Zone Identification; 3. Easting and Northing (meters; false easting; false northing); 4. UTM for Distance and Area Measurement; 5. UTM vs Geographic (Lat/Lon) for Inspection; 6. UTM and GPS; 7. Converting Lat/Lon to UTM; 8. UTM Distortion at Zone Edges; 9. WGS84 UTM; 10. UTM in TarmacView Mapping,Coordinate system for metric measurement — useful for crack length and area reporting in inspection.,surveying; coordinates; mapping; GPS; inspection,geographic-coordinates; cartesian-coordinates; wgs84; coordinate-system; coordinate-transformation; latitude; longitude; gps-coordinates; geodetic-datum; surveying; mapping,medium
gimbal,technology,"Camera Gimbals for Drone Inspection","A gimbal is a motorized, stabilized mount that isolates a camera (or other payload) from drone movement and vibration, maintaining a steady orientation for sharp, consistent imagery. 3-axis gimbals (pitch, roll, yaw) are standard for inspection drones. Covers gimbal types, stabilization accuracy, importance for nadir/oblique imagery consistency, and gimbal calibration.",gimbal; camera gimbal; 3-axis gimbal; drone gimbal; gimbal stabilization; pitch roll yaw; brushless gimbal; gimbal calibration; gimbal dampening; stabilized camera,1. Purpose (vibration isolation; orientation control); 2. 3-Axis Stabilization (pitch; roll; yaw); 3. Gimbal Mechanics (brushless motors; IMU feedback; PID control); 4. Gimbal Accuracy and Drift; 5. Nadir vs Oblique Gimbal Positions for Inspection; 6. Gimbal and Image Overlap Consistency; 7. Gimbal Calibration; 8. Multi-Sensor Gimbals (RGB + thermal); 9. Gimbal in Drone Inspection; 10. Gimbal and Photogrammetry Quality,Stabilization system — gimbal performance directly affects image quality and measurement accuracy in drone inspection.,technology; drone; UAV; camera; inspection; photogrammetry,gimbal; drone; UAV; camera; photogrammetry; roll-pitch-yaw; stabilization; inspection; nadir; oblique; imagery,medium
nadir, surveying,"Nadir Imagery for Aerial Inspection and Mapping","Nadir imagery is captured with the camera pointing straight down (perpendicular to the ground), producing the least perspective distortion for mapping, orthomosaic generation, and measurement. It is the standard orientation for drone photogrammetry. Covers nadir advantages, comparison with oblique imagery, and when off-nadir imagery is preferred for vertical surface inspection.",nadir; nadir imagery; nadir camera; vertical imagery; straight down; nadir view; nadir drone; nadir photogrammetry; nadir vs oblique; nadir mapping,1. Definition (camera axis perpendicular to ground); 2. Advantages (minimal perspective distortion; uniform scale; best for orthomosaic); 3. Nadir in Drone Photogrammetry; 4. Nadir vs Oblique Imagery; 5. Nadir for Pavement Inspection; 6. Nadir Limitations (vertical structures; bridge sides); 7. Oblique Imagery for Vertical Surfaces; 8. Combined Nadir + Oblique Flight Plans; 9. Nadir Accuracy; 10. Best Practices,Standard drone camera orientation — nadir imagery is optimal for pavement surface measurement.,surveying; drone; photogrammetry; inspection; mapping,nadir; oblique; orthomosaic; photogrammetry; drone; gimbal; orthophoto; mapping; imagery; camera; UAV,medium
oblique, surveying,"Oblique Imagery for Infrastructure Inspection","Oblique imagery is captured with the camera angled away from vertical (typically 30°–60° from horizontal), providing perspective views of vertical and near-vertical surfaces — critical for bridge pier, abutment, building facade, and lighting structure inspection. Covers oblique photography geometry, flight planning for oblique captures, and integration with nadir imagery in comprehensive surveys.",oblique imagery; oblique photography; oblique camera; angled imagery; side view; oblique drone; oblique inspection; 3D oblique; oblique photogrammetry; oblique mapping,1. Definition (off-nadir; angled view); 2. Advantages (vertical surface visibility; 3D perspective; contextual view); 3. Oblique for Bridge Inspection (piers; abutments; underside); 4. Oblique for Building Facade Inspection; 5. Oblique for Lighting Structure Inspection; 6. Oblique Flight Planning (orbital; linear side; grid + oblique); 7. Oblique Photogrammetry (3D mesh); 8. Combined Nadir + Oblique Surveys; 9. Oblique in TarmacView Context; 10. Oblique Imagery Distortion,Angled camera orientation — oblique imagery enables inspection of vertical structures that nadir cannot see.,surveying; drone; photogrammetry; inspection; bridge; building,nadir; oblique; photogrammetry; drone; bridge; pier; abutment; facade; inspection; gimbal; 3D-model,medium
overlap, surveying,"Image Overlap for Photogrammetric Survey","Image overlap (forward/along-track overlap and side/lateral overlap) is the percentage of image area shared between consecutive and adjacent photos in a photogrammetric survey, typically 75-80% forward and 60-70% side for infrastructure mapping. Adequate overlap is critical for successful 3D reconstruction and crack detection. Covers overlap requirements, effects of overlap on model quality, and flight planning for inspection.",image overlap; forward overlap; side overlap; photogrammetric overlap; aerial overlap; drone overlap; overlap percentage; overlap requirement; endlap; sidelap; overlap inspection,1. Definition (forward/endlap; side/sidelap); 2. Overlap in Structure from Motion; 3. Typical Overlap Requirements (75-80% forward; 60-70% side); 4. Effects of Insufficient Overlap (gaps; poor reconstruction); 5. Effects of Excessive Overlap (processing time; storage); 6. Overlap for Pavement Inspection; 7. Overlap for Bridge Inspection; 8. Flight Planning for Overlap (altitude; speed; interval); 9. Terrain Effects on Overlap; 10. Post-Flight Overlap Verification,Photogrammetric parameter — image overlap directly determines 3D reconstruction quality and measurement accuracy.,surveying; drone; photogrammetry; inspection; mapping; flight-planning,photogrammetry; structure-from-motion; orthomosaic; drone; orthophoto; ground-sample-distance; flight-planning; mapping; 3D-reconstruction; overlap,medium
ground-sample-distance,surveying,"Ground Sample Distance (GSD) for Aerial Inspection","Ground Sample Distance (GSD) is the distance on the ground represented by one pixel in an aerial image, determined by camera sensor pixel size, lens focal length, and flight altitude. GSD directly controls the smallest detectable feature — for crack detection, GSD should be ≤1 mm/px. Covers GSD calculation, relationship to inspection requirements, and flight planning for target GSD.",ground sample distance; GSD; pixel resolution; spatial resolution; cm per pixel; GSD calculation; drone GSD; camera GSD; GSD crack; mm per pixel GSD,1. Definition and Units (cm/px; mm/px); 2. GSD Calculation (pixel size × altitude / focal length); 3. Factors Affecting GSD (sensor; lens; altitude); 4. GSD for Crack Detection (≤1 mm/px; 0.5 mm/px ideal); 5. GSD for Surface Defect Detection; 6. GSD for General Pavement Inspection; 7. GSD and Flight Altitude Tradeoff; 8. GSD and Image Footprint; 9. Verifying GSD in Imagery; 10. GSD Planning for Inspection Missions,Spatial resolution parameter — GSD determines minimum detectable defect size in drone inspection imagery.,surveying; drone; photogrammetry; inspection; crack; mapping,resolution; spatial-resolution; pixel; mm-per-pixel; calibration-mm-per-pixel; crack-detection; drone; flight-planning; altitude; photogrammetry,medium
camera-calibration, surveying,"Camera Calibration for Photogrammetric Measurement","Camera calibration determines the intrinsic parameters of a camera — focal length, principal point, and lens distortion coefficients (radial and tangential) — essential for accurate photogrammetric measurement. Poor calibration causes systematic measurement errors. Covers calibration methods (checkerboard; self-calibration in SfM; pre-calibrated), calibration parameters, and the effect of calibration quality on crack measurement accuracy.",camera calibration; intrinsic parameters; lens distortion; radial distortion; tangential distortion; principal point; focal length; checkerboard calibration; self-calibration; camera matrix,1. Intrinsic Parameters (focal length fx fy; principal point cx cy; skew); 2. Lens Distortion (radial k1 k2 k3; tangential p1 p2); 3. Calibration Methods (checkerboard pattern; 3D test field; self-calibration in bundle adjustment); 4. Pre-Calibrated vs On-the-Job Calibration; 5. Calibration Stability Over Time; 6. Effects of Uncalibrated Camera on Measurements; 7. Calibration for Close-Range Photogrammetry; 8. Calibration for Drone Cameras; 9. Calibration Quality Assessment; 10. Calibration in TarmacView Context,Photogrammetric accuracy foundation — camera calibration errors propagate to all image-based measurements.,surveying; photogrammetry; drone; measurement; inspection; calibration,photogrammetry; structure-from-motion; calibration-mm-per-pixel; image-rectification; orthorectification; camera; lens; distortion; accuracy; measurement,medium
flight-planning-drone,technology,"Drone Flight Planning for Infrastructure Inspection","Drone flight planning for inspection involves designing automated flight paths (waypoint missions) with appropriate altitude, speed, overlap, gimbal angle, and camera settings to capture consistent, high-quality inspection imagery. Covers flight planning software, mission types (grid; corridor; orbital; facade), consideration of airspace and terrain, and pre-flight checks for inspection missions.",flight planning; drone mission; waypoint mission; drone flight path; automated flight; UAV planning; grid mission; corridor mission; orbital mission; inspection flight plan,1. Purpose and Software; 2. Mission Types (2D grid; corridor/linear; orbital/POI; facade mapping; 3D waypoint); 3. Parameter Setting (altitude; speed; overlap; gimbal angle; capture interval); 4. Terrain Following; 5. Airspace and Regulatory Considerations; 6. Pre-Flight Checks (battery; wind; lighting; NOTAMs); 7. Flight Planning for Runway Inspection; 8. Flight Planning for Bridge Inspection; 9. Flight Planning for Building Inspection; 10. Mission Execution and Monitoring,Operational procedure — consistent flight planning ensures repeatable, comparable inspection data.,technology; drone; UAV; inspection; planning; automation,drone; UAV; unmanned-aerial-vehicle; photogrammetry; overlap; ground-sample-distance; nadir; oblique; automation; inspection; automated-inspection-drone,medium
image-quality,technology,"Image Quality Assessment for Inspection Imagery","Image quality assessment for inspection evaluates sharpness (motion blur; focus), exposure (over/under-exposure), contrast, noise, and artifacts in captured imagery to ensure it is suitable for AI analysis and measurement. Poor quality imagery degrades detection accuracy. Covers quantitative quality metrics (Laplacian variance; BRISQUE; NIQE), automated quality filtering, and re-flight criteria.",image quality; photo quality; blur detection; image sharpness; image exposure; quality metric; Laplacian variance; BRISQUE; NIQE; image quality assessment; inspection image quality,1. Quality Dimensions (sharpness; exposure; contrast; noise; artifacts); 2. Motion Blur (shutter speed; speed-over-height ratio); 3. Focus Quality; 4. Exposure Assessment (histogram; clipping); 5. Quality Metrics (Laplacian variance; BRISQUE; NIQE; entropy); 6. Automated Quality Filtering; 7. Image Quality in TarmacView Pipelines; 8. Re-Flight Criteria for Poor Quality; 9. Metadata-Based Quality Pre-Checks; 10. Quality for AI vs Human Review,Data quality foundation — image quality directly determines the reliability of automated inspection results.,technology; inspection; drone; photography; quality-control; automation,blur; resolution; ground-sample-distance; camera-calibration; gimbal; inspection; image; quality-assurance; automated-defect-recognition,medium
cloud-processing,technology,"Cloud Processing for Drone Inspection Data","Cloud-based processing platforms (DroneDeploy; Pix4Dcloud; WebODM; Propeller; SiteScan) enable uploading, processing, and analysis of drone inspection imagery into orthomosaics, 3D models, and inspection reports without local high-performance computing. Covers cloud vs local processing tradeoffs, data security, accuracy, and integration with inspection management systems.",cloud processing; drone cloud; photogrammetry cloud; Pix4Dcloud; DroneDeploy; cloud orthomosaic; cloud 3D; online processing; cloud inspection; cloud mapping,1. Cloud Processing Workflow (upload → process → analyze → share); 2. Cloud Platforms Overview; 3. Cloud vs Local Processing Tradeoffs (speed; cost; accuracy; security); 4. Orthomosaic and 3D Model Generation; 5. AI Analysis in Cloud; 6. Data Security and Sovereignty; 7. Cloud for Inspection Report Generation; 8. Integration with Asset Management; 9. Cloud Processing at Scale; 10. Future: Edge + Cloud Hybrid,Processing infrastructure — cloud enables scalable drone inspection data processing.,technology; drone; inspection; photogrammetry; data-processing; cloud,data-processing; automation; orthomosaic; photogrammetry; digital-twin; building-information-modeling; report; edge-computing; data-storage; data-management,medium
edge-computing,technology,"Edge Computing for Real-Time Inspection","Edge computing performs AI inference directly on the drone, vehicle, or handheld device at the point of data capture, enabling real-time defect detection, quality filtering, and decision support without uploading to cloud. Reduces data transmission and speeds response. Covers edge AI hardware (Jetson; Neural Compute Stick; mobile GPUs), model optimization (quantization; pruning; TensorRT), and applications in inspection.",edge computing; edge AI; on-device AI; edge inference; Jetson; mobile GPU; real-time detection; edge inspection; edge processing; model optimization,1. Definition and Rationale; 2. Edge Hardware (NVIDIA Jetson; Intel Movidius; Qualcomm; Apple Neural Engine; Google TPU Edge); 3. Model Optimization for Edge (quantization INT8/FP16; pruning; knowledge distillation; TensorRT; ONNX); 4. Real-Time Crack Detection at Edge; 5. Edge Quality Filtering; 6. Edge + Cloud Hybrid Architecture; 7. Edge for BVLOS Operations; 8. Power and Thermal Constraints; 9. Edge Computing in TarmacView Context; 10. Future of Edge Inspection,Deployment technology — edge inference enables immediate inspection feedback at the point of data capture.,technology; drone; AI; inspection; automation; real-time,cloud-processing; inference; real-time; automation; drone; mobile; GPU; model-optimization; quantization; deep-learning,medium
